3747;"Astragalus dodtii";"species"
3748;"Astragalus domeykoanus";"species"
3749;"Astragalus edmonstonei";"species"
3750;"Astragalus germainii";"species"
3751;"Astragalus johnstonii";"species"
3752;"Astragalus limariensis";"species"
3753;"Astragalus looseri";"species"
3754;"Astragalus magellanicus";"species"
3755;"Astragalus maulensis";"species"
3756;"Astragalus micranthellus";"species"
3757;"Astragalus minimus";"species"
3758;"Astragalus minutissimus";"species"
3759;"Astragalus monteroi";"species"
3760;"Astragalus monticola";"species"
3761;"Astragalus nivicola";"species"
3762;"Astragalus nudus";"species"
3763;"Astragalus orthocarpus";"species"
3764;"Astragalus palenae";"species"
3765;"Astragalus paposanus";"species"
3766;"Astragalus patagonicus";"species"
3767;"Astragalus pehuenches";"species"
3768;"Astragalus pissisii";"species"
3769;"Astragalus pusillus";"species"
3770;"Astragalus reichei";"species"
3771;"Astragalus schinetorum";"species"
3772;"Astragalus tacorensis";"species"
3773;"Astragalus triflorus";"species"
3774;"Astragalus trifoliatus";"species"
3775;"Astragalus vagus";"species"
3776;"Astragalus valerianensis";"species"
3777;"Astragalus verticillatus";"species"
3778;"Astragalus vesiculosus";"species"
3779;"Astragalus werdermannii";"species"
141;"Astrolepis sinuata";"species"
3136;"Asynthema gracile";"species"
5464;"Atacamallium minutiflorum";"species"
2737;"Atacama nivea";"species"
3350;"Atriplex atacamensis";"species"
3351;"Atriplex chapinii";"species"
3352;"Atriplex chilensis";"species"
3353;"Atriplex chizae";"species"
3354;"Atriplex clivicola";"species"
3355;"Atriplex coquimbana";"species"
3356;"Atriplex costellata";"species"
3358;"Atriplex glaucescens";"species"
3359;"Atriplex hortensis";"species"
3360;"Atriplex hystrix";"species"
5672;"Atriplex imbricata";"species"
3363;"Atriplex leuca";"species"
3364;"Atriplex madariagae";"species"
3365;"Atriplex myriophylla";"species"
3366;"Atriplex nummularia";"species"
3367;"Atriplex oreophila";"species"
3368;"Atriplex patula";"species"
3369;"Atriplex peruviana";"species"
3370;"Atriplex philippii";"species"
3371;"Atriplex prostrata";"species"
3372;"Atriplex repanda";"species"
3357;"Atriplex retusa";"species"
3373;"Atriplex rosea";"species"
3374;"Atriplex semibaccata";"species"
3375;"Atriplex suberecta";"species"
3376;"Atriplex taltalensis";"species"
3377;"Atriplex tatarica";"species"
3378;"Atriplex vallenarensis";"species"
3379;"Atriplex vulgatissima";"species"
3246;"Augustea coquimbensis";"species"
3247;"Augustea moreirana";"species"
2922;"Austrocactus patagonicus";"species"
2923;"Austrocactus philippii";"species"
2924;"Austrocactus spiniflorus";"species"
169;"Austrocedrus chilensis";"species"
100;"Austrolycopodium alboffii";"species"
101;"Austrolycopodium confertum";"species"
102;"Austrolycopodium erectum";"species"
103;"Austrolycopodium magellanicum";"species"
104;"Austrolycopodium paniculatum";"species"
835;"Austrostipa scabra";"species"
3524;"Avellanita bustillosii";"species"
836;"Avena barbata";"species"
837;"Avena fatua";"species"
838;"Avena sativa";"species"
839;"Avena sterilis";"species"
840;"Avena strigosa";"species"
841;"Avenella flexuosa";"species"
842;"Axonopus compressus";"species"
4973;"Azara alpina";"species"
4974;"Azara celastrina";"species"
4975;"Azara dentata";"species"
4976;"Azara integrifolia";"species"
4977;"Azara lanceolata";"species"
4978;"Azara microphylla";"species"
4979;"Azara petiolaris";"species"
5744;"Azara serrata";"species"
160;"Azolla filiculoides";"species"
1439;"Azorella acaulis";"species"
5783;"Azorella albovaginata";"species"
1441;"Azorella ameghinoi";"species"
1442;"Azorella andina";"species"
1443;"Azorella atacamensis";"species"
1444;"Azorella biloba";"species"
1445;"Azorella boelckei";"species"
1446;"Azorella burkartii";"species"
1447;"Azorella compacta";"species"
1448;"Azorella concolor";"species"
1449;"Azorella crassipes";"species"
1450;"Azorella cryptantha";"species"
1451;"Azorella diversifolia";"species"
1452;"Azorella filamentosa";"species"
1453;"Azorella fuegiana";"species"
1454;"Azorella lycopodioides";"species"
1455;"Azorella madreporica";"species"
1456;"Azorella monantha";"species"
1457;"Azorella monteroi";"species"
1458;"Azorella nivalis";"species"
1459;"Azorella patagonica";"species"
1460;"Azorella prolifera";"species"
1461;"Azorella ranunculus";"species"
1462;"Azorella ruizii";"species"
1463;"Azorella selago";"species"
1464;"Azorella spinosa";"species"
1465;"Azorella trifoliolata";"species"
1466;"Azorella trifurcata";"species"
1467;"Azorella ulicina";"species"
1620;"Baccharis acaulis";"species"
1621;"Baccharis alnifolia";"species"
5437;"Baccharis alpina";"species"
1622;"Baccharis boliviensis";"species"
1623;"Baccharis caespitosa";"species"
1624;"Baccharis calliprinos";"species"
1625;"Baccharis concava";"species"
1626;"Baccharis cymosa";"species"
1627;"Baccharis darwinii";"species"
1628;"Baccharis elaeoides";"species"
1629;"Baccharis genistelloides";"species"
1630;"Baccharis glutinosa";"species"
5841;"Baccharis gnidiifolius";"species"
1631;"Baccharis intermedia";"species"
1632;"Baccharis juncea";"species"
5572;"Baccharis linearis";"species"
1635;"Baccharis lycioides";"species"
1636;"Baccharis macraei";"species"
1637;"Baccharis magellanica";"species"
1638;"Baccharis mylodontis";"species"
1639;"Baccharis neaei";"species"
1640;"Baccharis nivalis";"species"
1641;"Baccharis obovata";"species"
1642;"Baccharis paniculata";"species"
1643;"Baccharis patagonica";"species"
1645;"Baccharis pilcensis";"species"
5573;"Baccharis poeppigiana";"species"
1649;"Baccharis pycnantha";"species"
1650;"Baccharis racemosa";"species"
1651;"Baccharis rhomboidalis";"species"
1652;"Baccharis sagittalis";"species"
1653;"Baccharis salicifolia";"species"
1654;"Baccharis sessilifolia";"species"
1655;"Baccharis spartioides";"species"
1656;"Baccharis sphaerocephala";"species"
1657;"Baccharis taltalensis";"species"
5574;"Baccharis tola";"species"
1662;"Baccharis vernalis";"species"
5575;"Baccharis zoellneri";"species"
4620;"Bacopa monnieri";"species"
1665;"Bahia ambrosioides";"species"
4699;"Bakerolimon plumosum";"species"
3951;"Balbisia gracilis";"species"
3952;"Balbisia microphylla";"species"
3953;"Balbisia peduncularis";"species"
3954;"Balbisia stitchkinii";"species"
3780;"Balsamocarpon brevifolium";"species"
2738;"Barbarea verna";"species"
3288;"Baretia lanata";"species"
4812;"Barneoudia major";"species"
3380;"Bassia hyssopifolia";"species"
4108;"Beilschmiedia berteroana";"species"
4109;"Beilschmiedia miersii";"species"
4469;"Bellardia trixago";"species"
4470;"Bellardia viscosa";"species"
1666;"Bellis perennis";"species"
5896;"Belloa chilensis";"species"
2063;"Belloa eriophora";"species"
1667;"Belloa nivea";"species"
5021;"Benthamiella azorella";"species"
5022;"Benthamiella lanata";"species"
5023;"Benthamiella nordenskioldii";"species"
5024;"Benthamiella patagonica";"species"
2610;"Berberidopsis corallina";"species"
5892;"Berberidopsis granitica";"species"
2591;"Berberis actinacantha";"species"
5636;"Berberis chilensis";"species"
2594;"Berberis congestiflora";"species"
2595;"Berberis corymbosa";"species"
2596;"Berberis darwinii";"species"
2597;"Berberis empetrifolia";"species"
2598;"Berberis glomerata";"species"
2599;"Berberis horrida";"species"
2600;"Berberis ilicifolia";"species"
2601;"Berberis litoralis";"species"
2602;"Berberis masafuerana";"species"
2603;"Berberis microphylla";"species"
2604;"Berberis montana";"species"
2605;"Berberis negeriana";"species"
2606;"Berberis rotundifolia";"species"
2607;"Berberis serratodentata";"species"
2608;"Berberis trigona";"species"
2609;"Berberis valdiviana";"species"
1668;"Bidens aurea";"species"
1669;"Bidens laevis";"species"
5576;"Bidens pilosa";"species"
1673;"Bidens pseudocosmos";"species"
1674;"Bidens subalternans";"species"
5577;"Bidens triplinervia";"species"
712;"Bipinnula fimbriata";"species"
713;"Bipinnula gabriel";"species"
714;"Bipinnula plumosa";"species"
715;"Bipinnula taltalensis";"species"
716;"Bipinnula volkmannii";"species"
14;"Blechnum arcuatum";"species"
15;"Blechnum asperum";"species"
16;"Blechnum blechnoides";"species"
17;"Blechnum chilense";"species"
18;"Blechnum corralense";"species"
19;"Blechnum cycadifolium";"species"
20;"Blechnum hastatum";"species"
21;"Blechnum longicauda";"species"
22;"Blechnum magellanicum";"species"
23;"Blechnum microphyllum";"species"
5467;"Blechnum mochaenum";"species"
26;"Blechnum penna-marina";"species"
27;"Blechnum schottii";"species"
28;"Blechnum x rodriguezii";"species"
1677;"Blennosperma chilense";"species"
4367;"Blepharocalyx cruckshanksii";"species"
4126;"Blumenbachia dissecta";"species"
4127;"Blumenbachia prietea";"species"
4128;"Blumenbachia sylvestris";"species"
5250;"Boehmeria excelsa";"species"
4408;"Boerhavia diffusa";"species"
1468;"Bolax caespitosa";"species"
1469;"Bolax gummifera";"species"
397;"Bolboschoenus maritimus";"species"
246;"Bomarea dulcis";"species"
247;"Bomarea involucrosa";"species"
248;"Bomarea salsilla";"species"
4106;"Boquila trifoliolata";"species"
2630;"Borago officinalis";"species"
843;"Bothriochloa barbinodis";"species"
844;"Bothriochloa ischaemum";"species"
845;"Bothriochloa laguroides";"species"
5524;"Bothriochloa saccharoides";"species"
110;"Botrychium dusenii";"species"
849;"Bouteloua simplex";"species"
1470;"Bowlesia incana";"species"
1471;"Bowlesia lobata";"species"
1472;"Bowlesia macrophysa";"species"
1473;"Bowlesia paposana";"species"
1474;"Bowlesia sodiroana";"species"
1475;"Bowlesia tropaeolifolia";"species"
1476;"Bowlesia uncinata";"species"
1678;"Brachyclados caespitosus";"species"
1679;"Brachyclados lycioides";"species"
850;"Brachypodium distachyon";"species"
717;"Brachystele unilateralis";"species"
2739;"Brassica napus";"species"
2740;"Brassica nigra";"species"
2741;"Brassica oleracea";"species"
2742;"Brassica rapa";"species"
2743;"Brassica tournefortii";"species"
4993;"Bridgesia incisifolia";"species"
851;"Briza maxima";"species"
852;"Briza minor";"species"
853;"Bromelica cepacea";"species"
854;"Bromidium anomalum";"species"
855;"Bromidium trisetoides";"species"
856;"Bromus araucanus";"species"
857;"Bromus berteroanus";"species"
858;"Bromus burkartii";"species"
5525;"Bromus catharticus";"species"
861;"Bromus coloratus";"species"
862;"Bromus erectus";"species"
863;"Bromus gunckelii";"species"
864;"Bromus hordeaceus";"species"
865;"Bromus lanatus";"species"
866;"Bromus lanceolatus";"species"
867;"Bromus lithobius";"species"
868;"Bromus madritensis";"species"
869;"Bromus mango";"species"
870;"Bromus pellitus";"species"
871;"Bromus racemosus";"species"
872;"Bromus rigidus";"species"
873;"Bromus scoparius";"species"
874;"Bromus secalinus";"species"
5526;"Bromus setifolius";"species"
878;"Bromus squarrosus";"species"
880;"Bromus sterilis";"species"
881;"Bromus tectorum";"species"
882;"Bromus tunicatus";"species"
4363;"Broussonetia papyrifera";"species"
2925;"Browningia candelaris";"species"
4702;"Bryantiella glutinosa";"species"
5012;"Buddleja araucana";"species"
5013;"Buddleja globosa";"species"
5014;"Buddleja suaveolens";"species"
2631;"Buglossoides arvensis";"species"
5424;"Bulnesia chilensis";"species"
3781;"Caesalpinia major";"species"
4129;"Caiophora chuquitensis";"species"
4130;"Caiophora cirsiifolia";"species"
4131;"Caiophora coronata";"species"
4132;"Caiophora deserticola";"species"
4133;"Caiophora rosulata";"species"
4306;"Calandrinia acaulis";"species"
4307;"Calandrinia affinis";"species"
