Isolepis nodosa
Astragalus orites
Anagallis alternifolia
Cryptantha glomerulifera
Triglochin concinna
Goniophlebium synammia
Lechleria palmata
Nassella longiglumis
Ammophila arenaria
Dinemagonum albicaule
Patagonium trifoliatum
Clarionema virens var. humilis
Mulinum chillanense
Cynoglossum creticum
Aster plantagineus
Persea lingue var. palustris
Neochilenia transitensis
Culcitium gayanum
Melica argentata
Calandrinia affinis var. graminifolia
Sanicula crassicaulis
Puccinellia preslii
Calandrinia demissa
Juncus acutus subsp. acutus var. decompositus
Jaborosa araucana
Monnina philippiana
Calandrinia setosa var. longifolia
Ranunculus patagonicus
Mastigostyla cyrtophylla
Zephyranthes maculata
Urachne fusca
Valeriana radicalis var. patagonica
Molina concava
Lomaria gilliesii
Oxalis laxa var. violacea
Eryngium pratense var. depressum
Solanum alphonsei
Tropaeolum floribundum
Juncodes excelsum
Hebe elliptica
Stipa megalantha
Viola gelida
Junellia minima
Asarca patagonica
Aster asteroides
Landia lappacea
Senecio gunckelii
Eleocharis tucumanensis
Perezia pedicularidifolia var. humilis
Phaca oreophila
Erigeron ingae var. innocentium
Hydrocotyle asiatica
Eriosyce esmeraldana
Phylloscirpus deserticola
Luma philippii
Stipa laevissima
Francoa appendiculata
Scirpus pseudotriqueter
Bowlesia cirrosa
Plectocephalus bulbosus
Sida sulphurea
Lepidium bipinnatifidum var. tenuifolium
Trisetum variabile var. chiloense
Ephedra patagonica
Alona patula
Carex fuscula
Adesmia villanuevae
Billbergia sphacelata
Colletia tralhuen
Gnaphalium depilatum
Azorella albida
Agrostis mertensii
Grausa lateritia
Rostkovia grandiflora var. philippii
Hymenophyllum glebarium
Nicotiana rupicola
Oenothera mollissima var. valdiviana
Leucheria tenerifolia
Bramia indica
Oriastrum albicaule var. nivale
Colletia montana
Tagetes integrifolia
Eriosyce curvispina var. armata
Verbena lipozygoides var. minima
Bomarea oculata
Lemna valdiviana
Boldoa fragrans
Fabiana imbricata var. biflora
Melica violacea var. pallida
Doniophyton andicolum
Cortaderia selloana
Aster reversus
Lecanophora glaucophylla
Tropaeolum nuptae-jucundae
Astragalus striatus
Phaca edmonstonei
Triptilion integrifolium
Hedyotis repens
Oxalis illapelina
Centaurea cachinalensis
Tissa teretifolia
Eritrichium lignosum
Poa vaginiformis fma. Phil.
Sisyrinchium illmu
Chorizanthe peduncularis
Indigofera truxillensis
Ambrina chilensis
Asperugo procumbens
Polypodium feuillei var. feuillei fma. unilaterale
Anarthrophyllum desideratum
Chamelum andinum
Thelocephala weisserii
Hexaptera litoralis
Myrteola nummularia var. barneoudii
Lycium chilense var. capillare
Menonvillea litoralis
Puya gilmartiniae
Sphaeralcea glabrata
Urtica dioica var. diplotricha
Hypochaeris acaulis
Haplopappus meyenii
Tupa purpurea
Adesmia pauciflora
Hippeastrum tubispathum fma. bicolor
Scirpus californicus var. tereticulmis
Rapuntium bridgesii
Verbena berteroi fma. albiflora
Phacelia cumingii var. grandis
Carex dolichophylla
Diplopappus inuloides
Dipyrena scoparia
Tissa floribunda
Descurainia depressa
Neoporteria garaventae
Viviania australis
Adesmia trijuga var. robustior
Lomatia hirsuta subsp. obliqua
Hydrocotyle indecora
Hymenophyllum chiloense
Neoporteria recondita var. residua
Trichocereus nigripilis
Achyrophorus microphyllus
Carex sorianoi
Chloraea semitensis
Dipterygia spinescens
Chenopodium quinoa
Melica nitida
Suriana volubilis
Argemone mexicana
Solidago parviflora
Poa pogonantha
Oxalis squamoso-radicosa var. pubescens
Utricularia gayana
Quillaja poeppigii
Azara lanceolata
Escallonia pulverulenta var. pulverulenta
Senecio multicaulis
Acaena glaucella
Calandrinia dianthoides
Oxalis arenaria
Corynabutilon ochsenii
Sisymbrium lechleri
Boopis diazi
Aster bustillosianus
Zephyranthes bagnoldii
Quinchamalium linarioides
Malvastrum tenuifolium
Cotula mexicana
Senecio chilensis var. chilensis
Senecio guatulamensis
Anemone chilensis
Baccharis rosmarinifolia var. subandina
Macraea parvifolia
Chaetanthera stuebelii
Nolana linearifolia
Bowlesia sodiroana
Deyeuxia curvula
Pyrrhocactus wagenknechtii
Pinnasa pinnatifida
Hypericum androsaemum
Psilotum nudum
Stipa coquimbensis
Aloysia salviifolia
Legrandia concinna
Hexaptera tridens
Blechnum gayanum fma. germainii
Oxalis torcana
Deyeuxia chrysophylla
Fascicularia bicolor
Acrostichum sinuatum
Patagonium denticulatum
Potamogeton ferrugineus
Erigeron andicola
Oxalis checoensis
Deschampsia caespitosa
Senecio ranconensis
Leucocoryne reflexa
Serpyllopsis caespitosa var. elongata
Lepidophyllum cupressinum
Artemisia copa var. copa
Malesherbia dilatata
Verbena o'donelli
Escallonia glabrata
Carum panul
Leptocionium caespitosum
Acrisione denticulata
Acaena pumila var. acrocoma
Sphaerostigma heterophylla
Dispeltophorus crassifolius
Cynanchum andinum
Lupinus werdermannianus
Juncus acuminatus var. multiceps
Peperomia chilensis
Drimys chilensis
Adiantum sulphureum var. subsulphureum
Linum microphyllum
Malacochaete oligostachya
Pyrrhocactus glaucescens
Benthamiella azorella
Adesmia trifoliolata
Abutilon garckei
Ranunculus obtusatus
Suaeda foliosa var. tenuifolia
Ipomoea purpurea
Lycium chilense subsp. normale
Pozoa hydrocotylifolia
Dipterygia kingii
Lemna minuta
Schinus patagonica
Astragalus paposanus
Oxyphyllum ulicinum
Eriosyce curvispina var. aconcaguensis
Junellia ulicina
Uncinia lasiocarpa
Deyeuxia erythrostachya var. erythrostachya
Saxifraga bicuspidata
Senecio sedifolius
Gochnatia pyrifolia
Patagonium oresigenum
Litrea patagonica
Senecio talquinus
Eleocharis montana
Viola truncata var. truncata
Sida vitifolia
Lycium fragosum
Anthobryum aretoides
Morella pavonis
Draba thlaspiformis
Jaborosa bipinnatifida
Carex vallis-pulchrae var. barrosiana
Melilotus indicus
Escallonia gayana
Baccharis salicifolia subsp. calliprinos
Myrtus gudilla
Chloraea papillosa
Eryngium depressum
Notodanthonia virescens var. virescens
Senecio spinosus
Patagonium deserticolum
Convolvulus erosus
Domeykoa andina
Stipa rigidiseta
Oenothera bracteata var. glabrescens
Carex schenkiana
Luma hookeri
Echinopsis ferox
Eriosyce recondita
Discaria foliosa
Aristida nana
Moniera procumbens var. flagellaris
Tepualia philippiana
Chaetanthera chilensis var. tenuifolia
Carex leporina var. elatior
Fuchsia rosea
Viola parviflora
Perezia prenanthoides
Alstroemeria crispata
Heliotropium taltalense
Senecio looseri
Gamocarpha rosulata
Centaurium scilloides
Cogylia ternata
Loasa nana
Perezia variabilis
Urmenetea atacamensis
Plantago monticola
Bromus unioloides var. humilis
Eugenia parvifolia
Leuceria neaei
Pilosella chilensis
Myosotis scorpioides
Helenium collinum
Amphiscirpus nevadensis
Nicotiana minima
Sisyrinchium fernandezianum
Chersodoma candida
Bromus hordeaceus
Lippia juncea
Copiapoa megarhiza var. echinata
Aspidium brongniartianum
Copiapoa mollicula
Geranium sessiliflorum fma. albiflorum
Paronychia manicata
Chenopodium sanctae-clarae
Astragalus dessaueri
Leptocionium dentatum
Nasturtium indicum subsp. bonariense
Draba gilliesii var. rosulata
Verbena officinalis
Alona balsamiflua
Ranunculus trullifolius
Calystegia sepium subsp. americana
Echinocactus villosus
Senecio oreinus
Verbena bryoides
Pterocactus hickenii
Escallonia alpina var. glaberrima
Sisymbrium depressum
Nassauvia revoluta var. argentea
Nicotiana acuminata var. acuminata
Eugenia darwinii
Perezia beckii
Cuscuta suaveolens var. papillata
Juncus lechleri
Dolichogyne parvifolia
Pseudognaphalium viravira
Escallonia illinita var. pubicalycina
Schizanthus tenuifolius
Adesmia pendula
Geum grandiflorum
Drynaria lanceolata
Ammi majus
Senecio olivaceus
Malveopsis antofagastana
Calceolaria borchersi
Lepidium auriculatum
Herreria verticillata
Plantago uncialis
Pernettya palenae
Fabiana coridifolia
Bowlesia pulchella
Hypochaeris apargioides
Leptochloa uninervia
Nicotiana caudigera
Phaca patagonica
Melica berteroana
Wolffia lingulata var. minor
Hoffmannseggia eremophila
Bouteloua simplex
Menonvillea longipes
Copiapoa hornilloensis
Jungia dentata
Trisetum johnstonii subsp. mattheii
Chaetanthera glandulosa
Colocasia esculenta
Oenothera villaricae
Amaranthus viridis
Lobelia polyphylla fma. subdentata
Baccharis alpina
Agrostis anomala
Trifolium polymorphum
Clarionea ciliosa
Anactinia hookeri
Hordeum jubatum fma. viride
Carex macloviana var. incrassata
Adesmia microphylla
Calceolaria latifolia
Glandularia reichei
Tragacantha nuda
Flaveria bidentis
Adesmia rupicola
Stenodraba imbricatifolia
Bromus coloratus
Oxalis hookeriana
Lycium chilense subsp. rachidocladum
Lepidophyllum teretiusculum
Atropis biflora
Eugenia cuspidata
Solanum izquierdii
Senecio subpubescens
Calceolaria parvifolia
Cuscuta werdermannii
Cristaria diaziana
Urocarpidium chilensis
Oenothera gayana
Phaca palenae
Chloraea leptopetala
Scirpus riparius var. tereticulmis
Cenchrus echinatus
Nolana peruviana var. glauca
Lasiorhiza fragans
Chloraea grandis
Calceolaria rinconada
Oenothera grandidentata
Potamogeton illinoensis
Vicia truncata
Haplopappus saxatilis
Leuceria eriochlaena
Alstroemeria magnifica subsp. maxima
Maytenus chilensis
Euphorbia collina var. spathulata
Chloraea picta
Cardamine calbucana
Nicoraella bomanii
Aphanes pinnata
Dorystigma caulescens
Laphamia emoryi
Monocosmia corrigioloides
Eritrichium asperum
Erythranthe depressa
Dortmanna arguta
Senecio barrosianus
Augustea moreirana
Centaurea bulbosa
Argemone crassifolia
Leucocera leucanthema
Alstroemeria cummingiana
Tricondylus dentatus
Chloraea hookeriana
Haplopappus velutinus subsp. longipes
Chondrochilus involucratus
Galaxia narcissoides
Calandrinia leucocephala
Stellaria stenopetala var. axillaris
Juncus stipulatus var. corralensis
Acaena glandulifera
Ochagavia elegans
Baccharis pilcensis
Casalea hederacea
Sarcodraba dusenii
Aira caryophyllea
Fagus glutinosa
Hippeastrum tubispathum
Trisetum johnstonii
Sisymbrium grandiflorum
Flaveria bidentis var. angustifolia
Oenothera coquimbensis
Calceolaria dentata subsp. cumingiana
Distichlis maritima
Mimosa strombulifera
Callixene radicans
Pernettya serpyllifolia
Alstroemeria chillanensis
Aa nervosa
Viola araucaniae
Hypochaeris cupressorum
Neochilenia lembckei
Lycium breanum
Hesperis intricatissima
Hypochaeris odorata var. eurylepis
Draba magellanica
Phaca podocarpa
Chorizanthe glabrescens
Senecio illinitus
Angelopogon linearifolium
Microchaete humilis
Cyperus difformis
Malesherbia lirana var. lirana
Alona sphaerophylla
Pseudocaryophyllus darwinii
Nothoscordum nidulans
Spergularia marina
Copiapoa fiedleriana
Nama dichotomum fma. amplifolia
Mertensia quadripartita
Ranunculus maclovianus
Bolax caespitosa
Ligusticum apioides
Acaena argentea var. lanigera
Gnaphalium stachydifolium var. axillare
Anthriscus caucalis
Helianthus thurifera
Astragalus amunategui
Scirpus quinqueflorus
Baccharis eupatorioides
Malesherbia tenuifolia
Calandrinia humilis
Sophia glaucescens
Trichocereus fascicularis
Boopis australis var. squarrosa
Azorella ranunculus
Nicotiana modesta
Adesmia gayana
Viola volcanica
Hordeum pratense var. brongniartii
Latace serenense
Senecio platycodon
Nototriche anthemidifolia
Plantago rancaguae
Distichlis scoparia
Equisetum scandens
Lomaria lanuginosa
Carex banksii var. gilliesii
Aloysia reichei var. reichei
Bromus willdenowii var. haenkeanus
Solanum berteroanum
Senecio germainii
Chaetanthera elegans
Viola cotyledon
Draba gilliesii
Cristaria intonsa
Baccharis racemosa var. typica
Hymenophyllum caespitosum
Bustillosia chilensis var. setacea
Sisymbrium bonariense
Carex trachycystis
Oenothera picensis
Nassella gibba
Distichia clandestina
Lycium bridgesii
Festuca hypsophila
Silene magellanica
Senecio santelicis
Haplopappus cerberoanus
Acaena pinnatifida var. leptophylla
Blumenbachia scandens
Dendroseris neriifolia
Lobelia feuillei
Polypogon crinitus
Islaya caligophila
Dioscorea tenella
Juncus biflorus
Lathyrus linearifolius
Nassella landbackii var. eremophila
Amomyrtus meli
Argemone platyceras var. hunnemannii
Oenothera torulosa fma. chilensis
Haplodiscus fallax
Rhodophiala speciosa
Elaphoglossum lindenii
Colobanthus lycopodioides
Chloraea besseri
Stipa leucogluma
Antennaria chilensis
Leontodon hirtus
Drimys winteri var. andina
Gnaphalium lacteum
Achyrophorus philippii
Solanum infundibuliforme var. angustepinnatum
Melica laxiflora var. hirta
Euphrasia adenonota
Carex macloviana var. pseudoleporina
Ambrina parvula
Senecio baccharidifolius var. angustifolius
Fortunatia arida
Bargemontia inconspicua
Chiliotrichum amelloideum var. rosmarinifolium
Sida macrorhiza
Eriosyce heinrichiana subsp. intermedia
Ruppia obtusa
Leucheria papillosa
Myrceugenella chequen
Wolffia punctata
Asplenium subglandulosum subsp. papaverifolium
Aspidium multifidum
Nassella longearistata
Cuatrecasasiella argentina
Sphaeroma obtusilobum
Heliotropium corymbosum
Nolana tarapacana
Solanum valdiviense
Sisyrinchium micranthum subsp. valdivianum
Acetosella laciniata
Viola frigida
Brodiaea bivalvis
Cyperus laetus var. conceptionis
Lucilia  eriophora
Urbania pappigera
Hippeastrum bagnoldii var. minor
Euphrasia montana
Anthoxanthum pusillum
Gratiola uliginosa
Lepturus repens
Copiapoa solaris
Heliophytum stenophyllum
Sisymbrium umbelliferum
Festuca ovina subsp. tenuifolia
Nototriche estipulata
Atriplex axillaris
Eragrostis weberbaueri
Nassauvia suaveolens
Asarca reflexa
Geranium ochsenii
Adesmia jilesiana
Xenophyllum weddellii
Calucechinus antactica
Astragalus laxiflorus
Distichia filamentosa
Solaria atropurpurea
Oryzopsis verruculosa
Krameria cistoidea
Juncus arcticus var. mexicanus
Oxalis morenoensis
Myoschilos oblongum var. angusta
Colletia ferox var. dumosa
Anisomeris fruticosa
Bargemontia peruviana
Imperata condensata
Cristaria eriantha
Colletia trebu
Senecio candollei
Elymus uniflorus
Viola truncata
Oxalis gayana
Hymenophyllum tortuosum var. glomeratum
Viola portalesia var. integerrima
Cistanthe laxiflora
Grindelia glutinosa
Cactus horridus
Gnaphalium argyrolepis
Gilliesia miersioides
Celastrum maytenus
Jaborosa caulescens var. caulescens
Phyla nodiflora
Amaryllis cyrtanthoides
Oxalis laxa var. major
Haplopappus lastarrianus
Pilgerodendron uviferum
Eriosyce eriosyzoides subsp. atroviridis
Oreopolus glacialis var. pilosus
Astragalus meyenianus
Cryptantha minutiflora
Nolana leucantha
Pilosella magellanica
Viola rugosa
Trisetum ochrostachyum
Soliva mexicana
Vandenboschia ingae
Tupa polyphylla var. latifolia
Eucryphia pinnatifolia
Jaborosa caulescens
Grammitis robusta
Molina scandens
Phycella phycelloides
Calandrinia fenzlii
Senecio sericeus var. candolleanus
Apium ammi fma. filamentosum
Tragacantha oreophila
Uncinia tenuis fma. firmula
Chabraea glandulosa
Bowlesia lobata
Agropyron fuegianum var. polystachyum
Gothofreda birostrata
Solenomelus sisyrinchium
Hordeum jubatum
Marsea bonariensis
Viola reichei fma. gunckelii
Malvastrum coromandelianum
Belloa piptolepis
Neoporteria pilispina
Azorella cespitosa
Trophaeum ciliatum
Agrostis sesquiflora
Sisyrinchium pumilum
Elytrigia repens
Pyrrhocactus horridus var. robustus
Sisymbrium colchaguensis
Senecio parodii
Lithrea venenosa
Eritrichium floribundum
Cacalia ruderalis
Malesherbia incana
Elytrigia pubiflora
Poa chiloensis
Chusquea culeou fma. longiramea
Struthiopteris cycadifolia
Asarca gymnoglossa
Notholaena bonariensis
Sisyrinchium valdivianum
Loranthus utui
Viola truncata var. glandulifera
Cardamine variabilis var. pinnatisecta
Anogramma leptophylla
Abutilon ochsenii
Erythranthe minima
Grindelia tarapacana
Plantago durvillei subsp. eupachyneura
Senecio fernandezi
Viola maculata fma. munozii
Rumex obtusifolius
Cristaria ovallea
Adesmia phylloidea
Gymnotrix chilensis
Chuquiraga spinosa subsp. rotundifolia
Calandrinia sericea var. sessiliflora
Copiapoa lembckei
Lasiorhiza acanthoides
Prosopis siliquastrum var. longisiliqua
Alstroemeria umbellata
Lythrum album
Setaria verticillata
Elachia renifolia
Allosorus hirsutus
Nitrophila australis var. kuntzei
Myrteola barneoudii var. humifusa
Baccharis poeppigiana
Picrosia australis
Haplopappus reticulatus
Berberis corymbosa
Spergularia confertiflora var. polyphylla
Salicornia neei
Tetragonia tenella
Diplopappus chamissonis
Tropaeolum polyphyllum fma. schizophyllum
Witheringia flexuosa
Chloraea cuneata
Schizanthus glanduliferus
Pasithea caerulea var. grandiflora
Myosurus apetalus
Schizanthus pinnatus var. beta? gracilis
Luzula brachyphylla
Lepuropetalon pusillum
Sisyrinchium scirpeum
Senecio ochroleucus
Cassia huidobriana
Opuntia glomerata
Calandrinia phalacra
Hypochaeris spinuligera
Alstroemeria nana
Polygonum brasiliense
Oxalis hyalinorhiza
Nassauvia digitata
Bolax complicatus
Bidens quadrangularis
Calceolaria talcana
Astragalus pissisii
Asarca cygnea
Oxalis micrantha var. setifera
Austroblechnum xrodriguezii
Paspalum scoparium var. oligostachyum
Blechnum penna-marina var. polypodioides
Artemisia copa var. trifida
Lobelia polyphylla var. besseriana
Loasa sclareifolia var. inermis
Gnaphalium subnudum
Bromus scaber
Calceolaria floccosa
Hymenophyllum dichotomum
Tropaeolum jarrattii
Achyrophorus sphathulatus var. chiloensis
Combera minima
Noticastrum album
Chaetanthera leptocephala
Citharexylum germaini
Schismus arabicus
Lomaria germainii
Aristolochia setigera
Mecodium cuneatum var. rariforme
Leucheria aurita
Nicoraepoa pugionifolia
Veronica fonki
Juncus dombeyanus var. typicus
Daphne pillo-pillo
Oxalis lactea
Haplopappus cerberoanus subsp. cerberoanus
Baillonia juncea
Carex rahmeri
Alstroemeria werdermannii var. werdermannii
Anemone major
Andeimalva chilensis
Heliotropium stylosum
Nothofagus x leonii
Cinnagrostis brevifolia var. expansa
Scrophularia meridionalis
Phytolacca chilensis
Viola litoralis
Cynoglossum paniculatum
Mentzelia bartonioides
Poa nana
Ruppia rostellata
Gaultheria mucronata var. angustifolia
Stenodraba parvifolia
Eritrichium nubigenum
Lonchestigma parviflorum
Baccharis tola subsp. santelicis var. incarum
Aphanes neglecta
Sisymbrium corymbosum var. consanguineum
Discaria nana
Wahlenbergia fernandeziana
Cephalophora spathulata
Amaryllis andicola
Plantago cumingiana
Astragalus prostratus
Hypochaeris scorzonerae
Synammia intermedia
Mutisia sinuata
Patagonium intricatum
Stachys ochroleuca
Calceolaria thyrsiflora
Sagina valdiviana
Maytenus crenulatus
Carex macloviana var. thermarum
Calycera andina
Gynopleura dilatata
Lobelia anceps
Galium gilliesii subsp. gilliesii
Ludwigia grandiflora subsp. hexapetala
Urocarpidium albiflorum
Melica littoralis var. werdermannii
Distichlis humilis
Gamochaeta alpina
Tapeinia obscura
Bouteloua rahmeri
Cardamine tenuirostris subsp. affinis
Haplopappus angustifolius
Symphyostemon nigricans
Lemna valdiviana var. pellucida
Piptocarpha diacanthoides
Polystichum chilense var. dusenii
Agropyron pubiflorum
Sisyrinchium arenarium
Eudema thlaspiforme
Chaetanthera moenchioides
Chloraea chica
Eclipta prostrata
Menonvillea virens
Mesothema hastatum
Gerardia rigida var. meyeniana
Oxalis laxa var. hispidissima
Fagus obliqua var. macranthera
Ophioglossum stipatum
Nicotiana pauciflora
Asplenium parvulum
Leucocoryne montana
Poa spiciformis
Eugenia cumingii
Hybanthus glutinosus
Portulaca oleracea
Alstroemeria flava
Ipheion sessile
Polygala gayi
Robinia pseudoacacia
Tricuspidaria hookeriana
Oxalis gaudichaudii
Oxalis spodiophylla
Nassella ramosa
Retamilia articulata
Nolana pterocarpa
Stachys chonotica
Hypochaeris deserticola
Menonvillea marticorenae
Pyrrhocactus aspillagae
Azorella crassipes
Shuttleworthia berteroi
Oriastrum uncinatum
Lomaria penna-marina
Alstroemeria pallens
Lophozonia obliqua subsp. valdiviana
Sphaeralcea peteroana
Sisyrinchium arenarium subsp. arenarium
Lycium glaucum
Notophaena discolor
Ficus carica
Bichenia crenata
Petroravenia werdermannii
Verbena trifurcata
Phacelia circinata var. acutiloba
Sisyrinchium majale
Draba philippii
Trifolium chrysanthum
Plantago tehuelcha
Pyrrocoma aurea
Morenia chonta
Phytoxis acidissima
Discaria nana var. inermis
Erigeron litoralis var. luxurians
Olsynium scirpoideum subsp. scirpeum
Lomatia pinnatifida
Pellaea fumariaefolia
Embothrium coccineum
Mulguraea ligustrina var. ligustrina
Tetroncium magellanicum
Caesalpinia gilliesii
Uncinia lechleriana var. triquetra
Cardamine glacialis var. elatior
Dolia clavata var. puberula
Phaca uspallatensis
Gamochaeta filaginea
Deschampsia lasiantha
Loasa artemisiifolia
Campanula rapunculoides
Haplopappus decurrens
Ammi visnaga
Howardia bridgesii
Abutilon vitifolium
Carpha antarctica
Aldunatea gnaphalioides
Tupa feuillei var. berteroi
Allium vineale var. vineale
Senecio kingii
Phaiophleps patagonica
Azorella concolor
Gochnatia multiflora
Chloraea albo-rosea
Sisyrinchium uniflorum
Chiliotrichum tenue
Aristida pallens var. pallens
Plazia virgata
Cochranea pycnophylla
Scirpus phaecarpus
Trisetum malacanthum
Senecio diversifolius
Neoporteria horrida var. limariensis
Plectocephalus bridgesii
Stachys grandidentata
Anthoxanthum spicatum
Polyachyrus multifidus
Hydrocotyle ranunculoides
Astragalus cachinalensis
Pyrrhocoma pinea
Euparea chilensis
Juncus pusillus
Rumex maritimus
Poa bulbosa
Berberis polypetala
Corynabutilon bicolor
Dioscorea auriculata
Pilosella patagonica
Neoporteria wagenknechtii
Polygala darwiniana
Cyperus grammicus
Verbena salviifolia
Lycium leiostemum
Lycium deserti
Achyrophorus foliosus
Chabraea glacialis
Cryptantha dimorpha
Sisymbrium andinum fma. dolichocarpum
Placea germainii subsp. lutea
Dysopsis gayana
Colobanthus subulatus var. darwinii
Ranunculus litoralis
Salvinia auriculata
Hedysarum pendulum
Blepharodon rahmeri
Chillania pusilla
Loasa tricolor var. insons
Cristaria oxyptera
Sisymbrium sagittatum
Baccharis scandens
Loxodon chilensis
Leuceria senecioides var. purpurescens
Eriosyce odieri subsp. malleolata var. weisserii
Eriosyce rodentiophila var. lanata
Eragrostis scabra
Copiapoa megarhiza var. microrhiza
Apodostachys densiflora
Erigeron fernandezii
Fragaria chiloensis
Pernettya mucronata var. angustifolia
Calceolaria undulata
Senecio skottsbergii var. anomalus
Pernettya phillyreifolia
Senecio magellanicus
Baccharis zoellneri subsp. minor
Crassula tillaea
Silene mandonii
Chaetanthera moenchioides var. sulphurea
Trisetum trinii var. strictum
Pseudognaphalium cabrerae
Zygalchemilla pinnata
Cardamine tuberosa
Dolia brevifolia
Knautia integrifolia
Senecio portalesianus var. portalesianus
Agrostis castellana
Caldcluvia paniculata var. mochaena
Psoralea multifoliolata
Escallonia longidens
Diplopappus setiger
Nama dichotomum var. amplifolia
Ephedra andina fma. abbreviata
Patagonium pinifolium
Nolana villosa
Patagonium ramosissimum
Adesmia reclinata
Gamochaeta americana
Senecio sinuatilobus
Hymenophyllum patagonicum
Ribes magellanicum
Menonvillea linearis var. virgata
Obione retusa
Asarca galeata
Viola glacialis
Corrigiola crassifolia
Myosotis azorica
Oxalis magellanica
Patagonium radicifolium
Pyrrhocactus odoriflorus
Neochilenia huascensis
Hydrolea dichotoma
Tetragonia robusta
Pappostipa atacamensis
Lupinus polyphyllus
Chevreulia pusilla
Polypodium mollendense
Erigeron luxurians
Cruckshanksia glacialis
Patagonium longisetum
Genista elegans
Closia digitata
Trophaeum chilense
Otholobium glandulosum
Acaena argentea var. subcalvescens
Aster ilicifolius
Gunnera integrifolia
Erodium malacoides var. ribifolium
Dioscorea longipes
Buddleja globosa
Juncus diemii
Polystichum elegans
Haplopappus baylahuen
Monachne racemosa
Trisetum nancaguense
Didymia cyperomorpha
Drimys fernandeziana
Ageratina glechonophylla
Fallopia japonica
Hornungia procumbens
Acrostichum squamosum
Senecio cumingii var. cumingii
Senecio pentadactylus
Vicia sericella
Facelis retusa fma. congesta
Deyeuxia phalaroides
Pseudolobivia ferox
Chorizanthe fasciculata
Viola asterias var. depauperata
Cerastium cardiopetalum
Saccardophyton azorella
Gleichenia squamulosa
Austrolycopodium magellanicum
Rumex pulcher
Acetosella lobata
Phacelia pinnatifida
Phyla nodiflora fma. copiapina
Polygala tehuelchum
Veronica chamaedrys
Jarava neaei
Horridocactus engleri
Loasa aphanantha
Senecio encelia
Hypochaeris psychrophila
Epilobium nivale
Adiantum chilense var. scabrum
Senecio patagonicus var. alyssoides
Ovidia tenera
Glaux densiflora
Acaena pumila var. glaberrima
Festuca purpurascens
Mutisia ulicina
Senna stipulacea
Guariruma sinuatum
Ranunculus peduncularis var. polypetalus
Urtica glomeruliflora
Senecio lechleri
Apium humile
Nassella pfisteri
Proustia pungens
Stachys glabrata
Eleocharis pseudoalbibracteata
Alonsoa meridionalis
Junellia lavandulifolia
Cryptantha volckmannii
Malesherbia lirana var. atacamensis
Helenium ovallense
Allium vineale
Wendtia reynoldsii
Copiapoa echinoides
Piptochaetium gibbum
Loasa multifida
Polygala subandina
Ranunculus spegazzinii
Phalaris arundinacea
Alstroemeria aurantiaca
Maihueniopsis boliviana subsp. ignescens
Cynosurus echinatus
Lomaria fernandeziana
Chloraea obovata
Acaena multifida subsp. quinquefida
Gnaphalium purpureum var. julietii
Nolana lachimbensis
Eritrichium uspallatense
Luzula rigida
Trichomanes exsectum
Neoporteria totoralensis
Solanum gayanum
Acaena multifida subsp. intercedens
Hypochaeris chrysantha
Hypochaeris tenerifolia
Pteris glauca
Calycera sessiliflora var. axillaris
Viola volcanica var. chillanensis
Eritrichium alfalfalis
Lomaria magellanica
Cheilanthes mathewsii
Cuscuta purpurata
Glandularia lipozygioides
Boisduvalia volckmannii
Jussiaea repens
Coldenia littoralis
Leucheria scrobiculata
Paronychia andina
Copiapoa pseudocoquimbana var. chaniarensis
Agrostis nardifolia
Lasiorhiza rosea
Heliotropium krauseanum subsp. krauseanum
Rumex acetosella
Deyeuxia brevifolia var. brevifolia
Noticastrum antucense
Eleocharis albibracteata
Lathyrus magellanicus var. campestris
Carex phleoides
Schizanthus calycosus
Cistanthe coquimbensis
Senna huidobriana
Beta vulgaris subsp. maritima
Viola werdermannii var. werdermannii
Cenchrus spinifex
Astragalus triflorus
Pappostipa frigida
Neoporteria jussieui
Mimulus glabratus var. micranthus
Cardamine decumbens
Berberis fragrans
Lycium ovalilobum
Aristida spegazzinii var. genuina
Senecio jungei
Bromus spicatus
Monandraira patula
Senecio sericeus
Baccharis glutinosa var. incisa
Adesmia verrucosa
Astragalus vasticola
Conyza monticola
Baccharis valdiviana
Patagonium glaucum
Stipa trachysperma
Chabraea oligocephala
Berberis actinacantha var. crispa
Triptilion gibbosum
Mutisia auriculata
Eriophyllum ambrosioides
Sida hederacea var. sulphurea
Leucocoryne gayii
Eritrichium diffusum
Anisomeria chilensis
Dinemandra strigosa
Glyceria fuegiana
Gavilea litoralis
Oxalis tuberosa
Escallonia virgata var. pavoniana
Sisyrinchium volckmanni
Cinnagrostis deserticola var. breviaristata
Gamocarpha scapigera
Eragrostis mexicana
Polypodium trilobum
Gentiana pearcei
Sisymbrium oliganthum
Gymnophyton flexuosum
Chloraea bouganvilleana
Menonvillea cuneata
Hippuris vulgaris
Ephedra americana var. andina
Lycium chilense var. minutifolium
Dendroseris litoralis
Solanum sembarto var. pubescens
Carex darwinii var. serranoi
Lomaria araucana
Odontocarpha poeppigii
Gochnatia foliolosa var. foliolosa
Ipomoea chilensis
Daucus hispidifolius
Vicia araucana
Pteris comans var. berteroana
Adesmia medinae
Dasyphyllum excelsum
Puya violacea var. monteroana
Chaetanthera revoluta
Anatherostipa bomanii
Habenaria paucifolia
Citharexylum cyanocarpum
Oxalis san-romanii
