Isolepis nodosa
Berberis montana var. coletioides
Berberis empetrifolia
Erigeron pulcher
Neoporteria horrida var. aspillagae
Collomia navarretia
Descurainia cumingiana var. elegantula
Nolana napiformis
Paronychia johnstonii var. scabrida
Callitriche lechleri
Aster glabratus
Acaena pinnatifida subsp. liocarpa
Crotalaria pallida
Tropaeolum buchenaui
Juncus fernandezianus
Isoetes lechleri
Blumenbachia prietea
Valeriana laxiflora
Stipa brachychaeta
Cystopteris apiiformis
Achyrophorus scorzonerae var. ramosa
Patagonium volckmannii
Deyeuxia chrysantha var. chrysantha
Cristaria leucantha
Opuntia tunicata
Schizanthus carlomunnozii var. carlomunnozii
Herpestis flagellaris
Eriosyce  subgibbosa subsp. subgibosa
Eriosyce taltalensis var. floccosa
Luzula racemosa var. humilis
Proustia cuneifolia fma. cuneifolia
Azorella gayana
Senecio crepidioides
Nassauvia brevifolia
Onuris papillosa
Nastanthus patagonicus
Nototriche argentea
Cinnagrostis curvula
Lasiorhiza tomentosa
Trifolium valdivianum
Plantago hygrophila
Gentiana gayi subsp. gayi
Primula farinosa subsp. magellanica
Nassauvia araucana
Erigeron floribundus
Haplostichia stolonifera
Arthropteris altescandens
Berberis buxifolia var. papillosa
Brodiaea patagonica
Bidens pilosa
Anthoxanthum utriculatum var. altissimum
Argylia tomentosa
Karkinetron undulatum
Calceolaria andicola
Balsamocarpon brevifolium
Poinciana gilliesii
Bipinnula apinnula
Madia chilensis
Suaeda divaricata var. tenuifolia
Sisyrinchium angustifolium
Catabrosa aquatica
Adesmia izquierdi
Astragalus rahmeri
Chusquea culeou
Achyranthes porringens
Juncus bogotensis
Athanasia cupressiformis
Astragalus nubigenus
Sisyrinchium narcissoides
Bromus scoparius var. villiglumis
Pimpinella vidali
Acaena argentea fma. nigricans
Asarca thermarum
Cardamine alsophila var. bracteata
Plantago truncata var. canohirsuta
Woodsia crenata
Sorema elegans
Rhynchospora rugosa
Myrteola nummularia var. repens
Adesmia argyrophylla
Nassauvia latifolia
Aristida pallens var. geminata
Tropaeolum rhomboideum
Alstroemeria tricolor
Acantholippia trifida
Petunia acuminata
Robinsonia nervosa
Heliotropium chenopodiaceum
Carex maritima
Bromus madritensis
Phalaris canariensis
Allocarya corymbosa
Vincetoxicum nemorosum
Senna cumingii var. cumingii
Lathyrus japonicus var. japonicus
Hypochaeris andina var. laciniata
Agrostis rigescens
Armeria maritima subsp. andina
Senecio chilensis
Cynoctonum viride
Senecio chersodomus
Valeriana obovata
Melia azedarach
Schkuhria octoaristata
Neoporteria clavata var. nigrihorrida
Festuca bromoides
Xanthoxalis aureoflava
Viola pulchella
Phacelia magellanica fma. andina
Poa subenervis
Misodendrum punctulatum
Quinchamalium parviflorum
Mirabilis campestris
Aphanes berteroana
Carex banksii
Euphrasia muscosa
Haplodiscus longiscapus
Senecio phylicifolius
Rumex acetosa
Stenodraba suffruticosa
Plantago glabriuscula
Rumex conglomeratus
Sorema litoralis
Anemone balliana
Clinopodium darwinii
Astragalus schinetorum
Cyperus reflexus var. fraternus
Sisymbrium caespitosum
Nassauvia abbreviata var. azorelloides
Rorippa hilariana
Adiantum aethiopicum var. glabrum
Plantago barbata subsp. austroandina
Nassella macrathera
Menonvillea frigida
Plantago monanthos var. abbreviata
Dielsiochloa floribunda
Acetosella spodiophylla
Fascicularia micrantha
Luma dombeyana
Frankenia micrantha
Chaetanthera nana
Alstroemeria gayana var. humilis
Cornus chilensis
Haplodiscus vernicosus var. geissei
Lepidium cumingianum subsp. orbiculatum
Pilostyles berteroi
Poa tumidula
Bothriochloa saccharoides
Drimys winteri var. fernandeziana
Berberis knightii
Nolana rupicola
Schizanthus pinnatus
Poa tristigmatica
Solanum pennellii var. elachistus
Datura stramonium
Chaetanthera magellanica
Alstroemeria hookeri subsp. recumbens
Draba gilliesii var. davilae
Medicago arabica
Lepidium cumingianum
Patagonium triphyllum
Ipomoea polymorpha var. glabra
Chaetanthera spinulosa
Menonvillea parvula
Lepidium cumingianum var. canescens
Luzula hieronymi
Plantago sericea
Crinodendron dependens
Senecio leucomallus
Baccharis tola subsp. altiplanicola
Chloraea incisa
Nardophyllum lanatum
Festuca juncifolia
Chloraea xerophila
Dioscorea linearis
Pascalia glauca
Pteris chilensis
Sarcocornia neei
Gavilea auriculata
Erigeron nubigenus
Ipheion gracile
Pappostipa nana
Avena redolens
Alstroemeria schizanthoides var. alba
Cinnagrostis viridis
Halerpestes tridentata
Cyperus lanceolatus
Acaena argentea fma. viridis
Calandrinia rupestris
Avena fatua
Nothofagus leoni
Lablab purpureus
Conyza larrainiana
Histiopteris incisa var. flavescens
Scirpus olneyi
Myrosmodes nervosa
Flaveria chilensis
Echites heterophyllus
Calceolaria arachnoidea subsp. arachnoidea
Valeriana chilensis
Carex banksii var. odontolepis
Hordeum secalinum var. chilense
Heliotropium inconspicuum
Puya chilensis
Adiantum subsulphureum
Stuckenia filiformis subsp. alpina
Spergularia stuebellii
Echinocactus berteri
Nasturtium patens
Arenaria andicola var. caespitosa
Conanthera alba
Diplachne fusca subsp. uninervia
Chamelum luteum
Blumenbachia dissecta
Adesmia microcalyx var. microcalyx
Astragalus valerianensis
Pyrrocoma cerberoana
Gymnogramma nivea
Alstroemeria magnifica subsp. gayana
Hypochaeris andina
Claytonia frigida
Patagonium ulicinum
Senecio rancaguensis
Zantedeschia aethiopica
Plantago brasiliensis var. decaisnei
Cryptocarya laxiflora
Clarionea affinis
Polypodium pycnocarpum
Calycera herbacea var. herbacea
Anthericum caeruleum
Alguelagum subhastatum
Caesalpinia tinctoria
Agrostis serranoi
Cerastium arvense
Achillea millefolium
Tropaeolum minimum
Perezia triceps
Senecio chamaedryfolius
Carex cernua
Mutisia brachyantha
Calamagrostis deserticola
Pseudognaphalium lacteum
Sphacele salviae
Calceolaria gmelinii
Krameria iluca
Talinum umbellatum
Convolvulus costatus
Eugenia lumilla
Haplodiscus densifolius
Tropaeolum azureum var. oblongilobum
Azara celastrina var. tomentosa
Milla brevipes
Spartium junceum
Milla porrifolia
Calycera monocephala
Calycera lanata
Blumenbachia domeykoana
Centaurea chilensis var. chilensis
Sisyrinchium nigricans
Chloraea cristata
Plantago macrantha var. trichophylla
Scirpus riparius var. paschalis
Calceolaria spatellifolia
Festuca laxiflora
Baccharis racemosa var. angolensis
Trophaeum linearifolium
Danaa yegua
Haplopappus racemiger
Stachys pannosa
Spergularia dillenii
Trifolium concinum
Poa virescens
Juncus mandonii
Sisyrinchium ramosum var. chilense
Tristagma sessile
Tetraglochin acanthocarpus var. typica
Sophora tetraptera
Amellus diffusus
Malvastrum obcuneatum
Pellaea glauca
Silene vulgaris
Neoporteria odieri var. malleolata
Perezia pinnata
Rhacoma disticha
Nierembergia prunellifolia
Trichocereus skottsbergii
Mathewsia foliosa
Ophryosporus floribundus
Asplenium macrosorum
Sorema atriplicifolia
Mutisia splendens
Hollermayera sylvatica
Nassella brachychaeta
Neoporteria setosiflora
Ranunculus minutus
Tristagma patagonicum
Uncinia erinacea var. longifolia
Salpiglossis straminea var. picta
Anemone tridentata
Viola maculata subsp. microphyllos
Munroa multiflora
Callixene magellanicum
Calycera sinuata
Trophaeum sessilifolium
Callitriche terrestris subsp. turfosa
Malva purpurata
Bomarea salsilla
Loasa intricata
Cassia emarginata
Hypochaeris scorzonerae var. ramosa
Carex pisanoi
Azara celastrina
Astragalus minutissimus
Eryngium polyrhizum
Botrychium lunaria var. dusenii
Rhamnus diffusus
Stipa frigida
Acaena pinnatifida subsp. hypoleuca
Lepidium tenuifolium
Gentiana hexamera
Copiapoa humilis var. taltalensis
Epilobium longipes
Euphorbia araucana
Solanum concavum
Acaena krausei
Blechnum australe var. hastata
Echinocactus castaneoides
Calceolaria cordata
Lyallia andicola
Verbena tridactylites
Vicia hookeri
Asarca araucana var. incisa
Sphaeralcea coquimbana
Boquila discolor
Junellia arequipense
Calandrinia virgata
Azorella antipoda
Stipa hispida
Cenchrus clandestinus
Lycopodium dendromorphum
Alstroemeria epulauquensis
Senecio sericeus var. neaei
Hedypnois rhagadioloides
Ranunculus microcarpus var. maritima
Alona vernicosa
Cassia arequipensis
Adesmia tenella var. macrocarpa
Phaca chilensis
Cinnagrostis rigida
Senecio microcephalus var. microcephalus
Asarca lutea
Nastanthus araucanus
Boerhavia diffusa
Ranunculus andinus
Cyperus lepidus
Bothriochloa saccharoides subsp. australis
Calceolaria spathulata
Barneoudia maxima
Meringium dentatum
Chloraea speciosa fma. sterilis
Hypochaeris hispidula
Deyeuxia patagonica
Dioscorea brachystachya
Lithraea caustica fma. pilosa
Calceolaria conferta
Patagonium dispermum
Oenothera sandiana
Berberis valdiviana
Cryptantha philippiana
Eritrichium dimorphum
Pombalia parviflora
Argythamnia tricuspidata
Carex andina var. subabscondita
Solanum pugae
Periloba stans
Oxalis dichotomiflora
Tristagma nivale fma. australe
Haplopappus villanuevae
Senecio patagonicus
Tropaeolum tenuirostre var. minus
Maihueniopsis glomerata
Monachne urvilleana
Colletia valenzuela
Alstroemeria hookeri subsp. hookeri
Berberis heterophylla
Viola reginae
Stachys litoralis
Oxalis cinerea
Werneria ciliolata
Patagonium angustifolium
Armeria aegialea
Lasthenia chilensis
Vulpia myuros fma. myuros
Rhodophiala phycelloides
Acaena krausei var. hirsuta
Senecio limbardioides var. beta
Hieracium gracile subsp. antarcticum
Phycella cyrtanthoides
Astragalus oliganthus
